date,country,campaign_name,adset_name,cost,impressions,clicks
2018-08-15,COUNTRY 2,CAMPAIGN 2,Adset 2,4.52,2474,3
2018-07-23,COUNTRY 1,CAMPAIGN 1,Adset 6,3.11,4245,19
2018-03-09,COUNTRY 3,CAMPAIGN 3,Adset 3,111.05,481370,
2018-02-10,COUNTRY 4,CAMPAIGN 4,Adset 4,1,2266,15
2018-02-25,COUNTRY 1,CAMPAIGN 1,Adset 6,4.55,6311,10
2018-06-28,COUNTRY 4,CAMPAIGN 4,Adset 4,1.48,392,5
2018-08-10,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,16,
2018-05-18,COUNTRY 2,CAMPAIGN 2,Adset 2,0.25,102,
2018-07-17,COUNTRY 1,CAMPAIGN 1,Adset 6,10.57,4383,24
2018-07-21,COUNTRY 1,CAMPAIGN 1,Adset 6,8.29,5346,27
2018-06-02,COUNTRY 2,CAMPAIGN 2,Adset 2,1.08,491,
2018-09-10,COUNTRY 1,CAMPAIGN 1,Adset 6,16.39,5474,17
2018-06-19,COUNTRY 2,CAMPAIGN 2,Adset 2,18.83,10462,209
2018-06-23,COUNTRY 1,CAMPAIGN 1,Adset 1,2.92,26910,2
2018-01-31,COUNTRY 4,CAMPAIGN 4,Adset 4,0.9,405,
2018-04-12,COUNTRY 4,CAMPAIGN 4,Adset 4,0,74,
2018-01-21,COUNTRY 1,CAMPAIGN 1,Adset 1,0.85,1966,11
2018-03-09,COUNTRY 1,CAMPAIGN 1,Adset 6,98.32,361494,215
2018-06-20,COUNTRY 1,CAMPAIGN 1,Adset 1,6.48,4817,17
2018-05-23,COUNTRY 1,CAMPAIGN 1,Adset 1,11.99,9607,33
2017-12-25,COUNTRY 4,CAMPAIGN 4,Adset 4,0.1,13,
2018-07-15,COUNTRY 2,CAMPAIGN 2,Adset 2,0,5,
2018-03-20,COUNTRY 4,CAMPAIGN 4,Adset 4,0.05,24,
2018-01-07,COUNTRY 1,CAMPAIGN 1,Adset 1,31.34,62463,57
2018-08-13,COUNTRY 4,CAMPAIGN 4,Adset 4,0.03,106,
2018-06-03,COUNTRY 3,CAMPAIGN 3,Adset 3,17.89,17985,39
2018-03-01,COUNTRY 1,CAMPAIGN 1,Adset 6,19.93,37449,
2018-02-27,COUNTRY 2,CAMPAIGN 2,Adset 2,0.26,103,
2018-01-17,COUNTRY 4,CAMPAIGN 4,Adset 4,4.07,464,2
2018-06-25,COUNTRY 2,CAMPAIGN 2,Adset 2,11.62,3813,17
2018-01-21,COUNTRY 4,CAMPAIGN 4,Adset 4,0.08,21,
2018-03-27,COUNTRY 6,CAMPAIGN 6,Adset 6,13.26,16709,24
2018-03-21,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,7,
2018-06-08,COUNTRY 4,CAMPAIGN 4,Adset 4,0,4,
2017-12-10,COUNTRY 4,CAMPAIGN 4,Adset 6,0,2,
2018-08-07,COUNTRY 4,CAMPAIGN 4,Adset 4,0.02,8,
2018-07-25,COUNTRY 2,CAMPAIGN 2,Adset 2,1.85,734,4
2018-06-05,COUNTRY 3,CAMPAIGN 3,Adset 3,1.48,841,5
2018-08-09,COUNTRY 1,CAMPAIGN 1,Adset 1,0.14,348,2
2018-03-21,COUNTRY 4,CAMPAIGN 4,Adset 4,0.19,44,
2018-01-08,COUNTRY 1,CAMPAIGN 1,Adset 1,22.53,10387,121
2018-08-30,COUNTRY 2,CAMPAIGN 2,Adset 2,9.51,1704,3
2018-01-28,COUNTRY 4,CAMPAIGN 4,Adset 4,0.03,7,
2018-05-10,COUNTRY 2,CAMPAIGN 2,Adset 2,0.64,178,
2018-04-04,COUNTRY 2,CAMPAIGN 2,Adset 2,0.05,29,
2018-02-21,COUNTRY 4,CAMPAIGN 4,Adset 4,0.61,143,1
2018-05-27,COUNTRY 3,CAMPAIGN 3,Adset 3,3.28,2354,27
2018-01-24,COUNTRY 4,CAMPAIGN 4,Adset 4,0.06,97,
2018-08-17,COUNTRY 2,CAMPAIGN 2,Adset 2,0.06,28,
2018-03-19,COUNTRY 4,CAMPAIGN 4,Adset 4,0.32,100,
2017-12-23,COUNTRY 4,CAMPAIGN 4,Adset 6,0.09,12,
2018-03-01,COUNTRY 4,CAMPAIGN 4,Adset 4,0.21,126,
2018-05-24,COUNTRY 1,CAMPAIGN 1,Adset 6,3.86,3456,4
2018-01-07,COUNTRY 4,CAMPAIGN 4,Adset 4,1.14,185,1
2018-05-20,COUNTRY 1,CAMPAIGN 1,Adset 6,5.25,5024,3
2018-06-25,COUNTRY 1,CAMPAIGN 1,Adset 6,2.05,4385,10
2018-07-09,COUNTRY 2,CAMPAIGN 2,Adset 2,3.3,2342,9
2018-04-04,COUNTRY 4,CAMPAIGN 4,Adset 4,2.15,329,
2018-06-15,COUNTRY 4,CAMPAIGN 4,Adset 4,0.18,106,
2018-01-07,COUNTRY 4,CAMPAIGN 4,Adset 4,0.08,7,
2018-05-30,COUNTRY 2,CAMPAIGN 2,Adset 2,0.29,110,
2018-07-16,COUNTRY 2,CAMPAIGN 2,Adset 2,0.48,219,
2018-06-12,COUNTRY 4,CAMPAIGN 4,Adset 4,0.17,348,2
2018-06-11,COUNTRY 4,CAMPAIGN 4,Adset 4,0.57,1942,44
2018-08-10,COUNTRY 3,CAMPAIGN 3,Adset 3,23.6,23582,57
2018-06-08,COUNTRY 1,CAMPAIGN 1,Adset 6,3.17,3558,18
2018-08-05,COUNTRY 2,CAMPAIGN 2,Adset 2,6.08,3160,10
2018-06-21,COUNTRY 4,CAMPAIGN 4,Adset 4,0,12,
2017-12-02,COUNTRY 1,CAMPAIGN 1,Adset 1,27.48,80572,42
2018-06-10,COUNTRY 3,CAMPAIGN 3,Adset 3,5.4,3339,7
2018-03-30,COUNTRY 4,CAMPAIGN 4,Adset 4,0.03,81,1
2018-06-04,COUNTRY 1,CAMPAIGN 1,Adset 6,26.71,56409,
2018-07-31,COUNTRY 3,CAMPAIGN 3,Adset 3,22.84,28059,162
2018-06-24,COUNTRY 1,CAMPAIGN 1,Adset 6,2.46,643,3
2018-01-19,COUNTRY 1,CAMPAIGN 1,Adset 1,3.22,3311,14
2018-06-29,COUNTRY 1,CAMPAIGN 1,Adset 6,0.86,1331,
2018-07-27,COUNTRY 2,CAMPAIGN 2,Adset 2,0.75,306,2
2018-05-06,COUNTRY 1,CAMPAIGN 1,Adset 1,9.57,16949,144
2018-02-22,COUNTRY 1,CAMPAIGN 1,Adset 1,0.21,568,3
2018-05-09,COUNTRY 1,CAMPAIGN 1,Adset 6,2.62,732,1
2018-04-28,COUNTRY 2,CAMPAIGN 2,Adset 2,0.46,112,
2018-01-03,COUNTRY 4,CAMPAIGN 4,Adset 6,0.2,34,
2018-04-09,COUNTRY 4,CAMPAIGN 4,Adset 4,0.08,47,1
2018-08-02,COUNTRY 2,CAMPAIGN 2,Adset 2,2.89,1730,2
2018-06-09,COUNTRY 1,CAMPAIGN 1,Adset 6,6.25,5776,25
2018-08-07,COUNTRY 4,CAMPAIGN 4,Adset 4,0.06,82,
2018-03-26,COUNTRY 1,CAMPAIGN 1,Adset 1,0.98,869,
2018-06-01,COUNTRY 2,CAMPAIGN 2,Adset 2,1.79,538,2
2018-03-24,COUNTRY 2,CAMPAIGN 2,Adset 2,0.04,30,
2018-03-13,COUNTRY 2,CAMPAIGN 2,Adset 2,0.1,29,
2018-08-13,COUNTRY 1,CAMPAIGN 1,Adset 1,2.17,3008,10
2018-03-10,COUNTRY 4,CAMPAIGN 4,Adset 4,0.39,111,
2018-08-17,COUNTRY 3,CAMPAIGN 3,Adset 3,252.66,152384,1061
2017-12-23,COUNTRY 4,CAMPAIGN 4,Adset 4,0,5,
2018-07-07,COUNTRY 4,CAMPAIGN 4,Adset 4,0.33,244,
2018-05-11,COUNTRY 2,CAMPAIGN 2,Adset 2,1.55,819,10
2018-08-07,COUNTRY 4,CAMPAIGN 4,Adset 4,0.56,280,1
2018-07-26,COUNTRY 4,CAMPAIGN 4,Adset 4,0.31,320,
2018-06-18,COUNTRY 1,CAMPAIGN 1,Adset 6,0.53,284,
2018-02-02,COUNTRY 4,CAMPAIGN 4,Adset 4,0,8,
2018-05-27,COUNTRY 3,CAMPAIGN 3,Adset 3,1,580,4
2018-03-31,COUNTRY 4,CAMPAIGN 4,Adset 4,3.14,1144,2
2018-03-18,COUNTRY 4,CAMPAIGN 4,Adset 4,4.84,1032,3
2018-05-22,COUNTRY 2,CAMPAIGN 2,Adset 2,2.47,681,
2018-09-02,COUNTRY 2,CAMPAIGN 2,Adset 2,12.46,3068,16
2017-12-23,COUNTRY 4,CAMPAIGN 4,Adset 4,0.12,94,
2018-03-02,COUNTRY 4,CAMPAIGN 4,Adset 4,0,3,
2018-06-23,COUNTRY 4,CAMPAIGN 4,Adset 4,0.79,742,1
2018-07-15,COUNTRY 2,CAMPAIGN 2,Adset 2,3.93,1701,3
2018-04-08,COUNTRY 2,CAMPAIGN 2,Adset 2,4.12,1707,10
2018-07-27,COUNTRY 3,CAMPAIGN 3,Adset 3,19.26,23431,160
2018-01-14,COUNTRY 2,CAMPAIGN 2,Adset 2,0.03,184,1
2018-07-22,COUNTRY 2,CAMPAIGN 2,Adset 2,3.04,977,2
2018-08-06,COUNTRY 3,CAMPAIGN 3,Adset 3,25.43,21675,164
2018-05-14,COUNTRY 1,CAMPAIGN 1,Adset 1,0.28,490,
2017-12-06,COUNTRY 4,CAMPAIGN 4,Adset 6,0.14,167,
2018-07-18,COUNTRY 1,CAMPAIGN 1,Adset 1,31.07,35242,1997
2018-05-20,COUNTRY 2,CAMPAIGN 2,Adset 2,2.03,596,6
2018-07-02,COUNTRY 2,CAMPAIGN 2,Adset 2,1.59,1038,7
2018-01-23,COUNTRY 4,CAMPAIGN 4,Adset 4,0.06,70,
2018-06-01,COUNTRY 1,CAMPAIGN 1,Adset 6,20.37,43981,1
2018-06-24,COUNTRY 1,CAMPAIGN 1,Adset 6,9.99,22434,
2018-03-17,COUNTRY 1,CAMPAIGN 1,Adset 6,10.01,12985,123
2018-06-20,COUNTRY 2,CAMPAIGN 2,Adset 2,0.35,493,1
2018-07-27,COUNTRY 6,CAMPAIGN 6,Adset 6,17.57,16086,54
2018-07-22,COUNTRY 2,CAMPAIGN 2,Adset 2,2.26,1249,2
2018-08-03,COUNTRY 4,CAMPAIGN 4,Adset 4,0.02,10,
2018-05-31,COUNTRY 2,CAMPAIGN 2,Adset 2,0.43,198,
2018-08-15,COUNTRY 1,CAMPAIGN 1,Adset 6,0.33,391,3
2018-08-12,COUNTRY 3,CAMPAIGN 3,Adset 3,5.94,8909,20
2018-01-08,COUNTRY 4,CAMPAIGN 4,Adset 6,0.01,4,
2018-03-01,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,3,
2018-06-10,COUNTRY 4,CAMPAIGN 4,Adset 4,3.87,758,3
2018-07-10,COUNTRY 1,CAMPAIGN 1,Adset 6,4.88,4735,39
2018-07-27,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,23,
2017-12-29,COUNTRY 1,CAMPAIGN 1,Adset 1,0.05,61,
2018-06-17,COUNTRY 1,CAMPAIGN 1,Adset 6,12.04,52777,
2018-03-25,COUNTRY 1,CAMPAIGN 1,Adset 6,7.48,7510,102
2018-06-10,COUNTRY 2,CAMPAIGN 2,Adset 2,2.51,1042,4
2018-08-28,COUNTRY 2,CAMPAIGN 2,Adset 2,2.33,952,5
2018-05-24,COUNTRY 2,CAMPAIGN 2,Adset 2,0.91,320,
2018-06-29,COUNTRY 2,CAMPAIGN 2,Adset 2,0.01,42,
2018-03-29,COUNTRY 6,CAMPAIGN 6,Adset 6,78.27,76915,109
2018-06-30,COUNTRY 1,CAMPAIGN 1,Adset 6,6.85,2450,7
2018-04-03,COUNTRY 4,CAMPAIGN 4,Adset 4,0.04,12,
2018-01-09,COUNTRY 1,CAMPAIGN 1,Adset 1,47.75,65077,604
2018-08-29,COUNTRY 2,CAMPAIGN 2,Adset 2,5.06,1044,4
2017-12-15,COUNTRY 4,CAMPAIGN 4,Adset 4,0.91,212,
2018-04-02,COUNTRY 4,CAMPAIGN 4,Adset 4,1.36,392,1
2018-08-26,COUNTRY 2,CAMPAIGN 2,Adset 2,13.8,5608,23
2018-06-17,COUNTRY 1,CAMPAIGN 1,Adset 6,0.81,309,
2018-02-10,COUNTRY 4,CAMPAIGN 4,Adset 4,89.98,11882,246
2018-02-14,COUNTRY 1,CAMPAIGN 1,Adset 6,5.18,2215,4
2018-01-08,COUNTRY 2,CAMPAIGN 2,Adset 2,6.67,1599,16
2017-12-17,COUNTRY 1,CAMPAIGN 1,Adset 1,7.09,4024,24
2018-03-10,COUNTRY 4,CAMPAIGN 4,Adset 4,0,11,
2018-02-23,COUNTRY 4,CAMPAIGN 4,Adset 4,0.57,86,
2018-07-02,COUNTRY 3,CAMPAIGN 3,Adset 3,3.62,2724,9
2018-08-05,COUNTRY 1,CAMPAIGN 1,Adset 1,14.2,48013,1
2018-06-07,COUNTRY 2,CAMPAIGN 2,Adset 2,0.23,96,
2018-06-11,COUNTRY 2,CAMPAIGN 2,Adset 2,0.56,205,2
2018-01-28,COUNTRY 4,CAMPAIGN 4,Adset 4,2.09,625,4
2018-08-25,COUNTRY 1,CAMPAIGN 1,Adset 6,0.81,1060,6
2018-03-28,COUNTRY 4,CAMPAIGN 4,Adset 4,0.18,58,
2018-06-16,COUNTRY 1,CAMPAIGN 1,Adset 6,2.82,6325,
2018-08-21,COUNTRY 3,CAMPAIGN 3,Adset 3,23.7,169795,1265
2018-01-02,COUNTRY 4,CAMPAIGN 4,Adset 4,0.09,66,
2018-06-13,COUNTRY 1,CAMPAIGN 1,Adset 1,23.47,21346,77
2018-07-24,COUNTRY 4,CAMPAIGN 4,Adset 4,0.05,81,
2018-02-27,COUNTRY 2,CAMPAIGN 2,Adset 2,0.49,202,
2018-06-17,COUNTRY 1,CAMPAIGN 1,Adset 6,1.46,3290,
2018-06-05,COUNTRY 2,CAMPAIGN 2,Adset 2,0.86,415,2
2018-07-13,COUNTRY 3,CAMPAIGN 3,Adset 3,24.33,11452,43
2018-07-02,COUNTRY 3,CAMPAIGN 3,Adset 3,8.11,4845,10
2018-05-21,COUNTRY 1,CAMPAIGN 1,Adset 1,5.36,24529,202
2018-07-18,COUNTRY 4,CAMPAIGN 4,Adset 4,0.07,43,
2018-08-21,COUNTRY 3,CAMPAIGN 3,Adset 3,77.56,52995,343
2018-07-08,COUNTRY 2,CAMPAIGN 2,Adset 2,0.59,448,
2018-04-06,COUNTRY 6,CAMPAIGN 6,Adset 6,29.49,22461,33
2018-06-25,COUNTRY 4,CAMPAIGN 4,Adset 4,0.56,167,4
2018-01-09,COUNTRY 4,CAMPAIGN 4,Adset 4,0,54,
2018-05-15,COUNTRY 1,CAMPAIGN 1,Adset 1,1.22,2083,28
2018-08-12,COUNTRY 1,CAMPAIGN 1,Adset 6,1.28,1906,6
2018-05-05,COUNTRY 2,CAMPAIGN 2,Adset 2,0.68,308,4
2018-07-20,COUNTRY 2,CAMPAIGN 2,Adset 2,2.94,827,2
2017-12-28,COUNTRY 4,CAMPAIGN 4,Adset 4,0.04,18,
2018-06-13,COUNTRY 2,CAMPAIGN 2,Adset 2,0.01,17,
2018-03-09,COUNTRY 1,CAMPAIGN 1,Adset 6,1.22,1563,2
2018-01-02,COUNTRY 4,CAMPAIGN 4,Adset 4,0.1,64,
2017-12-28,COUNTRY 4,CAMPAIGN 4,Adset 6,0.02,10,
2018-05-20,COUNTRY 3,CAMPAIGN 3,Adset 3,73.04,91308,152
2017-12-28,COUNTRY 4,CAMPAIGN 4,Adset 6,0.1,40,
2018-03-29,COUNTRY 3,CAMPAIGN 3,Adset 3,0.19,67,
2018-06-27,COUNTRY 4,CAMPAIGN 4,Adset 4,0.03,19,
2018-01-23,COUNTRY 3,CAMPAIGN 3,Adset 3,0.75,161,1
2018-05-30,COUNTRY 2,CAMPAIGN 2,Adset 2,0.22,80,
2017-12-16,COUNTRY 4,CAMPAIGN 4,Adset 6,0,1,
2018-05-30,COUNTRY 3,CAMPAIGN 3,Adset 3,11.33,10926,75
2018-07-06,COUNTRY 4,CAMPAIGN 4,Adset 4,0.62,202,
2018-08-23,COUNTRY 2,CAMPAIGN 2,Adset 2,3.35,922,3
2018-05-22,COUNTRY 2,CAMPAIGN 2,Adset 2,0.08,26,
2018-08-01,COUNTRY 2,CAMPAIGN 2,Adset 2,0.7,413,2
2018-03-02,COUNTRY 4,CAMPAIGN 4,Adset 4,0.04,12,
2018-01-28,COUNTRY 4,CAMPAIGN 4,Adset 4,0.04,103,
2018-03-03,COUNTRY 6,CAMPAIGN 6,Adset 6,8.2,6768,1
2018-01-24,COUNTRY 4,CAMPAIGN 4,Adset 4,0.05,78,
2018-08-06,COUNTRY 6,CAMPAIGN 6,Adset 6,12.06,14463,65
2018-06-20,COUNTRY 6,CAMPAIGN 6,Adset 6,18.73,17594,48
2017-12-24,COUNTRY 1,CAMPAIGN 1,Adset 6,2.4,649,
2018-05-06,COUNTRY 1,CAMPAIGN 1,Adset 6,4.71,1918,6
2018-09-13,COUNTRY 2,CAMPAIGN 2,Adset 2,0.93,432,2
2018-08-05,COUNTRY 2,CAMPAIGN 2,Adset 2,1.26,468,2
2018-06-14,COUNTRY 4,CAMPAIGN 4,Adset 4,0.18,80,
2018-05-08,COUNTRY 1,CAMPAIGN 1,Adset 6,4.34,1957,13
2018-05-24,COUNTRY 2,CAMPAIGN 2,Adset 2,1.87,449,1
2018-07-18,COUNTRY 1,CAMPAIGN 1,Adset 1,1.26,1914,7
2018-03-30,COUNTRY 4,CAMPAIGN 4,Adset 4,1.11,352,
2018-09-13,COUNTRY 2,CAMPAIGN 2,Adset 2,0.43,304,
2018-01-13,COUNTRY 2,CAMPAIGN 2,Adset 2,0.01,234,1
2017-12-26,COUNTRY 1,CAMPAIGN 1,Adset 6,20.15,23225,
2018-08-13,COUNTRY 6,CAMPAIGN 6,Adset 6,0.1,188,
2018-04-09,COUNTRY 4,CAMPAIGN 4,Adset 4,0,7,
2018-07-14,COUNTRY 4,CAMPAIGN 4,Adset 4,0,9,
2018-09-04,COUNTRY 4,CAMPAIGN 4,Adset 4,0.68,217,1
2018-09-11,COUNTRY 4,CAMPAIGN 4,Adset 4,2.44,1164,2
2018-07-15,COUNTRY 2,CAMPAIGN 2,Adset 2,2.59,1434,3
2018-05-06,COUNTRY 1,CAMPAIGN 1,Adset 1,14.61,17254,111
2018-03-23,COUNTRY 1,CAMPAIGN 1,Adset 6,16.51,17624,1
2018-01-02,COUNTRY 4,CAMPAIGN 4,Adset 4,0.01,7,
2018-04-15,COUNTRY 1,CAMPAIGN 1,Adset 1,6.96,10652,68
2018-06-18,COUNTRY 3,CAMPAIGN 3,Adset 3,15.29,10422,74
2018-07-01,COUNTRY 2,CAMPAIGN 2,Adset 2,0.88,1240,6
2018-09-04,COUNTRY 1,CAMPAIGN 1,Adset 1,3.22,5394,40
2018-08-31,COUNTRY 6,CAMPAIGN 6,Adset 6,29.47,30610,
2018-03-20,COUNTRY 6,CAMPAIGN 6,Adset 6,53.12,12470,
2018-06-30,COUNTRY 6,CAMPAIGN 6,Adset 6,33.25,38410,150
2018-04-13,COUNTRY 4,CAMPAIGN 4,Adset 4,0,1,
2018-07-07,COUNTRY 1,CAMPAIGN 1,Adset 6,2.72,3788,
2018-09-09,COUNTRY 2,CAMPAIGN 2,Adset 2,4.84,916,4
2018-07-10,COUNTRY 6,CAMPAIGN 6,Adset 6,6.34,9314,71
2017-12-31,COUNTRY 1,CAMPAIGN 1,Adset 1,140.08,129067,615
2018-03-21,COUNTRY 6,CAMPAIGN 6,Adset 6,3.23,4876,
2018-03-19,COUNTRY 4,CAMPAIGN 4,Adset 4,0.06,31,
2018-05-23,COUNTRY 1,CAMPAIGN 1,Adset 6,30.68,121692,
2018-07-07,COUNTRY 1,CAMPAIGN 1,Adset 6,1.77,617,3
2018-04-11,COUNTRY 1,CAMPAIGN 1,Adset 6,5.63,10494,
2018-08-10,COUNTRY 4,CAMPAIGN 4,Adset 4,0.02,17,
2018-08-10,COUNTRY 1,CAMPAIGN 1,Adset 6,5.3,7274,45
2018-05-31,COUNTRY 1,CAMPAIGN 1,Adset 1,0.13,431,5
2018-05-26,COUNTRY 1,CAMPAIGN 1,Adset 1,0.38,1491,5
2018-07-06,COUNTRY 1,CAMPAIGN 1,Adset 6,27.44,57718,
2018-04-18,COUNTRY 1,CAMPAIGN 1,Adset 1,26.47,23979,207
2018-08-10,COUNTRY 4,CAMPAIGN 4,Adset 4,0,12,
2018-05-21,COUNTRY 1,CAMPAIGN 1,Adset 1,8.49,11936,66
2017-12-23,COUNTRY 4,CAMPAIGN 4,Adset 4,0.25,143,
2018-05-15,COUNTRY 1,CAMPAIGN 1,Adset 6,9.7,34597,
2018-08-04,COUNTRY 1,CAMPAIGN 1,Adset 6,1.48,550,4
2018-01-20,COUNTRY 4,CAMPAIGN 4,Adset 4,0.19,221,
